Species,14:0,16:0,16:1,18:1o,18:1v,18:2,18:3g,18:3a,20:4,20:5,22:6,14:0.sd,16:0.sd,16:1.sd,18:1o.sd,18:1v.sd,18:2.sd,18:3g.sd,18:3a.sd,20:4.sd,20:5.sd,22:6.sd
Cyanophyceae,3.621409127,34.73915366,15.89121331,8.398909522,7.716584719,12.1294102,0.610918806,16.89240066,0,0,0,3.208796953,11.56508739,12.5362368,3.827464302,4.240739461,10.32926707,0.701718981,8.280100081,0,0,0
Chlorophyceae,2.235402127,30.37397877,3.279096122,17.97222644,3.281787927,11.36153601,1.395087486,30.10088512,0,0,0,1.721287786,9.06893866,2.490765411,6.888226393,3.032280347,5.743629473,1.369793368,6.89381032,0,0,0
Trebouxiophyceae,1.341139306,33.06299332,4.361881767,6.566005333,1.800342174,20.35413479,0.891235781,31.62226753,0,0,0,0.966583385,7.892636656,2.940829104,4.725379469,2.08813744,6.351924631,0,6.728664102,0,0,0
Bacillariophyta,6.980680612,22.57182452,40.86027447,2.132567227,1.434833968,2.27242132,1.469370476,1.052932786,2.82054118,15.92575381,2.478799639,3.356238326,7.42698306,13.2814176,1.275716606,1.369130508,1.442671228,1.104884754,0.720658779,2.061499892,7.286841838,1.626207088
Cryptophyceae,4.812270177,24.15876761,4.001555243,3.760214969,5.759741823,5.439071093,0.774482378,25.47319487,1.866990266,19.34585631,4.607855251,2.341563104,7.833353619,1.820691363,2.075802742,3.250741967,3.104085736,0.541813845,6.557242523,1.302558281,6.097224532,2.355250196
Dinophyceae,9.951014725,33.09749406,2.070916425,8.160951402,1.791592932,3.480954973,0,1.324668559,0.326606019,13.91314589,25.88265502,2.488864162,14.09456304,0.88355394,9.794696366,1.313096288,3.256893956,0,1.80276938,0,8.638574495,6.365394307
Eustigmatophyceae,3.117931485,21.88334919,26.42465224,5.540156698,1.194201603,5.015414345,0.505918413,1.268282685,3.256719053,31.79337429,0,1.732733886,2.748743293,5.052775566,4.783421721,0.602542583,2.481951487,0.530116449,0.969005817,1.744567322,12.57534363,0
Chrysophyceae,20.54268109,13.3439946,5.713055395,6.511277088,4.056731124,8.216130255,2.176308904,13.18978612,6.619869475,14.52927998,5.100885976,8.590163641,6.988333145,4.854069115,4.38042802,1.390242182,4.67759488,1.42932739,8.075770525,4.345909847,15.40695422,3.51235363
Xanthophyceae,4.538154961,16.67399149,37.19060919,5.21062234,1.714020507,2.532540475,2.318008685,6.332353539,6.890362437,16.59933637,0,2.075362332,6.366014952,8.302987926,3.94808618,0.457072135,1.953635161,2.690127978,4.776810948,3.525116589,7.405723651,0
Synurophyceae,25.94681708,18.17888799,2.782702122,8.015041633,0,10.12087027,0,18.17888799,3.798012356,6.016653237,6.962127317,4.996675657,7.681759011,0.963134454,3.085935968,0,4.364419362,0,5.674390758,1.336224275,4.325090754,2.785362658
Euglenophyceae,13.85442284,24.82486919,4.158512481,6.893335712,1.776485432,6.771869497,0,15.91119131,8.841156001,9.991286329,6.976871211,6.881217052,10.53253628,3.528082738,3.102762689,1.191221629,3.344496045,0,7.976329387,3.811585295,4.629384452,2.591044066
